,CONTENT,DATETIME,DOCID,TYPE
97,"지표종, 깃대종, 그리고 고유종! http://t.co/QMecLKon",20120829235623,98,TWEET
98,변산반도 국립공원 깃대종 - 부안종개 http://t.co/cfqQH2Q1,20120830010500,99,TWEET
99,"변산반도 국립공원 깃대종 - 부안종개: 변산반도 국립공원 깃대종 깃대종이란 특정지역의 생태적. 문화적. 지리적 특성을 반영하는 상징적인 야생 동,식물로써 사람들이 보호해야할 필요성을 인정하는 종 입... http://t.co/ud6mg5Ip",20120830011034,100,TWEET
100,"지난 8월 29일 태안해안국립공원 깃대종, 멸종위기종 2급인 표범장지뱀 서식지인 특별보호구역 모니터링을 실시했습니다. 우리공원은 꾸준하고 지속적인 모니터링으로 건강한 자연생태계를 보전하는데 최선을 다하겠습니다. http://t.co/LBSLds0q",20120830110435,101,TWEET
101,"태안해안국립공원 깃대종이며, 멸종위기종 2급인 표범장지뱀입니다. 만약에 표범장지뱀을 보면 예쁘다고 만지지 마세요.~ 우리 체온에 표범장지뱀이 화상을 입을 수 있습니다!!! http://t.co/gUaRMIrc",20120830110735,102,TWEET
102,"변산반도의 깃대종 변산바람꽃,부안종개: 야생동식물의 낙원인국립공원. 변산반도는 희귀동식물과 자연생태계가 잘 보존되어 있으며, 멸종위기종에 놓인 야생동식물을 보호하는 한편 생태계를 교란시키는 야생동식물... http://t.co/BB4pctpL",20120902010343,103,TWEET
103,계룡산국립공원 깃대종 '이끼도롱뇽' 입니다. 이끼도롱뇽은 미주도롱뇽과로 '허파 없는 미주도롱뇽(lungless salamander)'의 한국어 이름입니다. 이끼도롱뇽이 한국에서 발견되기 전까지... http://t.co/5QzHLHvv,20120906155248,104,TWEET
104,"@iloveKNPS 깨알같은 설명으로 덕유산,적상산,머루와인 동굴까지 여행 잘했습니다~낭만적인 캠핑카 카라반도,깃대종 금강모치도 모두 새롭게 알게 되었고 정성이 깃든 정갈한 음식들도 다 좋았습니다~우리 나라에 대해 하나하나 알아가는 즐거움이 큽니다^^",20120912133528,105,REPLY
105,"월평공원에 우리가 살고 있어요(이삭귀개-깃대종2): 이삭귀개 높이 10∼30mm이고 양지쪽 습지에서 자란다. 실 같은 땅속줄기가 옆으로 벋으면서 주걱 같은 잎이 군데군데에서 무더기로 나오고, 뿌... http://t.co/8CSG2eDo",20120915233259,106,TWEET
106,월평공원에 우리가 살고있어요(늦반디불이-깃대종3) http://t.co/lZV8TK4p,20120916212819,107,TWEET
